"","Title","Path","Box","Distrubutor","Release Date","Genre","Runtime","MPAA","Budget","Director"
"1","Star Wars: The Force Awakens","/movies/?id=starwars7.htm",936662225,"Buena Vista","December","Sci-Fi Fantasy",136,"PG-13",245,"J.J. Abrams"
"2","Avatar","/movies/?id=avatar.htm",749766139,"Fox","December","Sci-Fi Adventure",160,"PG-13",NA,"James Cameron"
"3","Jurassic World","/movies/?id=jurassicpark4.htm",652270625,"Universal","June","Action / Adventure",124,"PG-13",150,"Colin Trevorrow"
"4","Marvel's The Avengers","/movies/?id=avengers11.htm",623357910,"Buena Vista","May","Action / Adventure",142,"PG-13",220,"Joss Whedon"
"5","Titanic","/movies/?id=titanic.htm",600788188,"Paramount","December","Romance",194,"PG-13",200,"James Cameron"
"6","The Dark Knight","/movies/?id=darkknight.htm",533345358,"Warner Bros.","July","Action / Adventure",150,"PG-13",185,"Christopher Nolan"
"7","Rogue One: A Star Wars Story","/movies/?id=starwars2016.htm",532177324,"Buena Vista","December","Sci-Fi Adventure",133,"PG-13",200,"Gareth Edwards"
"8","Beauty and the Beast (2017)","/movies/?id=beautyandthebeast2017.htm",502604446,"Buena Vista","March","Fantasy",129,"PG",160,"Bill Condon"
"9","Finding Dory","/movies/?id=pixar2015.htm",486295561,"Buena Vista","June","Animation",103,"PG",NA,"Angus MacLane "
"10","Avengers: Age of Ultron","/movies/?id=avengers2.htm",459005868,"Buena Vista","May","Action / Adventure",141,"PG-13",250,"Joss Whedon"
"11","The Dark Knight Rises","/movies/?id=batman3.htm",448139099,"Warner Bros.","July","Action Thriller",165,"PG-13",250,"Christopher Nolan"
"12","Shrek 2","/movies/?id=shrek2.htm",441226247,"DreamWorks","May","Animation",93,"PG",150,"Andrew Adamson"
"13","Star Wars: Episode I - The Phantom Menace","/movies/?id=starwars.htm",431088295,"Fox","May","Sci-Fi Fantasy",133,"PG",115,"George Lucas"
"14","The Hunger Games: Catching Fire","/movies/?id=catchingfire.htm",424668047,"Lionsgate","November","Action / Adventure",146,"PG-13",130,"Francis Lawrence"
"15","Pirates of the Caribbean: Dead Man's Chest","/movies/?id=piratesofthecaribbean2.htm",423315812,"Buena Vista","July","Period Adventure",151,"PG-13",225,"Gore Verbinski"
"16","Toy Story 3","/movies/?id=toystory3.htm",415004880,"Buena Vista","June","Animation",103,"G",200,"Lee Unkrich"
"17","Iron Man 3","/movies/?id=ironman3.htm",409013994,"Buena Vista","May","Action / Adventure",129,"PG-13",200,"Shane Black"
"18","Captain America: Civil War","/movies/?id=marvel2016.htm",408084349,"Buena Vista","May","Action / Adventure",147,"PG-13",250,"Anthony Russo"
"19","The Hunger Games","/movies/?id=hungergames.htm",408010692,"Lionsgate","March","Action / Adventure",142,"PG-13",78,"Gary Ross"
"20","Spider-Man","/movies/?id=spiderman.htm",403706375,"Sony / Columbia","May","Action / Adventure",121,"PG-13",139,"Sam Raimi"
"21","Transformers: Revenge of the Fallen","/movies/?id=transformers2.htm",402111870,"Paramount (DreamWorks)","June","Sci-Fi Action",144,"PG-13",200,"Michael Bay"
"22","Frozen","/movies/?id=frozen2013.htm",400738009,"Buena Vista","November","Animation",108,"PG",150,"Chris Buck"
"23","Harry Potter and the Deathly Hallows Part 2","/movies/?id=harrypotter72.htm",381011219,"Warner Bros.","July","Fantasy",130,"PG-13",NA,"David Yates"
"24","Star Wars: Episode III - Revenge of the Sith","/movies/?id=starwars3.htm",380270577,"Fox","May","Sci-Fi Fantasy",146,"PG-13",113,"George Lucas"
"25","The Lord of the Rings: The Return of the King","/movies/?id=returnoftheking.htm",377027325,"New Line","December","Fantasy",200,"PG-13",94,"Peter Jackson"
"26","Spider-Man 2","/movies/?id=spiderman2.htm",373585825,"Sony / Columbia","June","Action / Adventure",127,"PG-13",200,"Sam Raimi"
"27","The Passion of the Christ","/movies/?id=passionofthechrist.htm",370274604,"Newmarket","February","Historical Drama",126,"R",30,"Mel Gibson"
"28","The Secret Life of Pets","/movies/?id=illumination2015.htm",368384330,"Universal","July","Animation",90,"PG",75,"Chris Renaud"
"29","Despicable Me 2","/movies/?id=despicableme2.htm",368061265,"Universal","July","Animation",98,"PG",76,"Pierre Coffin"
"30","The Jungle Book (2016)","/movies/?id=junglebook2015.htm",364001123,"Buena Vista","April","Adventure",105,"PG",175,"Jon Favreau"
"31","Deadpool","/movies/?id=deadpool2016.htm",363070709,"Fox","February","Action",106,"R",58,"Tim Miller"
"32","Guardians of the Galaxy Vol. 2","/movies/?id=marvel17a.htm",361808172,"Buena Vista","May","Action / Adventure",137,"PG-13",200,"James Gunn"
"33","Inside Out","/movies/?id=pixar2014.htm",356461711,"Buena Vista","June","Animation",94,"PG",175,"Pete Docter"
"34","Furious 7","/movies/?id=fast7.htm",353007020,"Universal","April","Action",137,"PG-13",190,"James Wan"
"35","Transformers: Dark of the Moon","/movies/?id=transformers3.htm",352390543,"Paramount (DreamWorks)","June","Sci-Fi Action",154,"PG-13",195,"Michael Bay"
"36","American Sniper","/movies/?id=americansniper.htm",350126372,"Warner Bros.","December","Drama",132,"R",588,"Clint Eastwood"
"37","Zootopia","/movies/?id=disney2016.htm",341268248,"Buena Vista","March","Animation",108,"PG",NA,"Byron Howard"
"38","The Lord of the Rings: The Two Towers","/movies/?id=twotowers.htm",339789881,"New Line","December","Fantasy",179,"PG-13",94,"Peter Jackson"
"39","Finding Nemo","/movies/?id=findingnemo.htm",339714978,"Buena Vista","May","Animation",104,"G",94,"Andrew Stanton"
"40","The Hunger Games: Mockingjay - Part 1","/movies/?id=hungergames3.htm",337135885,"Lionsgate","November","Action / Adventure",123,"PG-13",125,"Francis Lawrence"
"41","Spider-Man 3","/movies/?id=spiderman3.htm",336530303,"Sony / Columbia","May","Action / Adventure",140,"PG-13",258,"Sam Raimi"
"42","Minions","/movies/?id=minions.htm",336045770,"Universal","July","Animation",91,"PG",74,"Pierre Coffin"
"43","Alice in Wonderland (2010)","/movies/?id=aliceinwonderland10.htm",334191110,"Buena Vista","March","Family Adventure",109,"PG",200,"Tim Burton"
"44","Guardians of the Galaxy","/movies/?id=marvel2014a.htm",333176600,"Buena Vista","August","Action / Adventure",121,"PG-13",170,"James Gunn"
"45","Batman v Superman: Dawn of Justice","/movies/?id=superman2015.htm",330360194,"Warner Bros.","March","Action / Adventure",151,"PG-13",250,"Zack Snyder"
"46","Suicide Squad","/movies/?id=dc2016.htm",325100054,"Warner Bros.","August","Action / Adventure",130,"PG-13",175,"David Ayer"
"47","Shrek the Third","/movies/?id=shrek3.htm",322719944,"Paramount (DreamWorks)","May","Animation",92,"PG",160,"Chris Miller"
