"","Title","Path","Box","Distrubutor","Release Date","Genre","Runtime","MPAA","Budget","Director"
"1","Mr. Right","/movies/?id=mrright16.htm",34694,"Focus World","April","Action Comedy",95,"R",NA,NA
"2","Phantom Boy","/movies/?id=phantomboy.htm",34362,"GKIDS","July","Animation",84,"PG",NA,NA
"3","Sweet Sixteen (Xia You Qiao Mu)","/movies/?id=sweetsixteen2016.htm",34327,"China Lion","August","Romance",93,"Unrated",NA,NA
"4","Eisenstein in Guanajuato","/movies/?id=eisensteininguanajuato.htm",34282,"Strand","February","Romantic Comedy",105,"Unrated",NA,"Peter Greenaway"
"5","Off the Rails","/movies/?id=offtherails.htm",34249,"The Film Collaborative","November","Documentary",86,"Unrated",NA,NA
"6","Last Cab to Darwin","/movies/?id=lastcabtodarwin.htm",34193,"First Run","June","Comedy / Drama",123,"Unrated",NA,NA
"7","The Map Against the World","/movies/?id=mapagainsttheworld.htm",34034,"CJ Entertainment","September","Drama",129,"Unrated",NA,NA
"8","Equals","/movies/?id=equals.htm",33258,"A24","July","Drama",101,"PG-13",NA,"Drake Doremus"
"9","Multiple Maniacs (2016 re-issue)","/movies/?id=multiplemaniacs2016.htm",33036,"Janus Films","August","Comedy",96,"Unrated",NA,NA
"10","The Intervention","/movies/?id=theintervention.htm",32919,"Samuel Goldwyn","August","Comedy / Drama",89,"R",NA,"Clea DuVall"
"11","Monster Hunt","/movies/?id=monsterhunt.htm",32766,"FilmRise","January","Action Fantasy",111,"Unrated",NA,NA
"12","Rurouni Kenshin: Origins","/movies/?id=rurounikenshin:origins.htm",32445,"FUNimation Films","August","Action Drama",134,"Unrated",NA,NA
"13","Rio, I Love You","/movies/?id=rioiloveyou.htm",31982,"Screen Media","April","Drama",112,"R",NA,"Guillermo Arriaga"
"14","Under the Shadow","/movies/?id=undertheshadow.htm",31900,"Vertical Entertainment","October","Horror Thriller",84,"PG-13",NA,NA
"15","Paths of the Soul","/movies/?id=pathsofthesoul.htm",31747,"Icarus Films","May","Drama",117,"Unrated",NA,NA
"16","No Home Movie","/movies/?id=nohomemovie.htm",31095,"Icarus Films","February","Documentary",115,"Unrated",NA,NA
"17","As I Open My Eyes","/movies/?id=asiopenmyeyes.htm",30989,"Kino Lorber","September","Drama",102,"Unrated",NA,NA
"18","The Son of Joseph","/movies/?id=thesonofjoseph.htm",30588,"Kino Lorber","September","Drama",113,"Unrated",NA,NA
"19","Being Charlie","/movies/?id=beingcharlie.htm",30400,"Paladin","May","Comedy",97,"R",NA,"Rob Reiner"
"20","Men & Chicken","/movies/?id=menchicken.htm",30207,"Drafthouse","April","Comedy",104,"Unrated",NA,NA
"21","From Afar","/movies/?id=fromafar.htm",30169,"Strand","June","Drama",93,"Unrated",NA,NA
"22","For a Few Bullets","/movies/?id=forafewbullets.htm",30142,"China Lion","July","Action Comedy",115,"Unrated",NA,NA
"23","Therapy for a Vampire","/movies/?id=therapyforavampire.htm",30115,"Music Box Films","June","Horror Comedy",87,"Unrated",NA,NA
"24","The Seventh Fire","/movies/?id=theseventhfire.htm",30112,"Film Movement","July","Documentary",76,"Unrated",NA,NA
"25","The Best Democracy Money Can Buy: A Tale of Billionaires & Ballot Bandits","/movies/?id=bestdemocracymoneycanbuy.htm",29500,"Cinema Libre Studio","September","Documentary",114,"Not Yet Rated",NA,NA
"26","The Dog Wedding","/movies/?id=thedogwedding.htm",29495,"25th Frame","March","Romantic Comedy",96,"PG-13",NA,NA
"27","Troublemakers: The Story of Land Art","/movies/?id=troublemakers.htm",29462,"First Run","January","Documentary",72,"Unrated",NA,NA
"28","The Last Princess","/movies/?id=lastprincess.htm",29259,"CJ Entertainment","September","Drama",127,"Unrated",NA,NA
"29","Time to Choose","/movies/?id=timetochoose.htm",29233,"Abramorama","June","Documentary",96,"Unrated",NA,"Charles Ferguson"
"30","Valley of Love","/movies/?id=valleyoflove.htm",28648,"Strand","March","Drama",91,"Unrated",NA,NA
"31","The Seasons in Quincy: Four Portraits of John Berger","/movies/?id=seasonsinquincy.htm",28456,"Icarus Films","August","Documentary",90,"Unrated",NA,NA
"32","Rabin, the Last Day","/movies/?id=rabinthelastday.htm",28411,"Kino Lorber","January","Drama",153,"Unrated",NA,NA
"33","Take Me to the River (2016)","/movies/?id=takemetotheriver2016.htm",28041,"Film Movement","March","Drama",84,"Unrated",NA,NA
"34","Kaili Blues","/movies/?id=kailiblues.htm",27477,"Grasshopper Film","May","Drama",113,"Unrated",NA,NA
"35","Unlocking the Cage","/movies/?id=unlockingthecage.htm",27284,"First Run","May","Documentary",91,"Unrated",NA,NA
"36","The Eyes of My Mother","/movies/?id=eyesofmymother.htm",27099,"Magnolia","December","Horror",77,"R",NA,NA
"37","Blackway","/movies/?id=blackway.htm",27079,"Electric Entertainment","June","Thriller",90,"R",NA,"Daniel Alfredson"
"38","Anesthesia","/movies/?id=anesthesia.htm",26799,"IFC","January","Drama / Thriller",90,"R",NA,"Tim Blake Nelson"
"39","Neon Bull","/movies/?id=neonbull.htm",26734,"Kino Lorber","April","Drama",101,"Unrated",NA,NA
"40","Papa (Luo shan ji dao dan ji hua)","/movies/?id=papa2016.htm",26677,"Jampa","March","Comedy / Drama",NA,"Unrated",NA,NA
"41","Front Cover","/movies/?id=frontcover.htm",26409,"Strand","August","Comedy / Drama",87,"Unrated",NA,NA
"42","Standing Tall (La tete haute)","/movies/?id=standingtall.htm",26144,"Cohen Media Group","April","Drama",120,"R",NA,"Emmanuelle Bercot"
"43","Chevalier","/movies/?id=chevalier.htm",25696,"Strand","May","Drama",99,"Unrated",NA,NA
"44","Gurukulam","/movies/?id=gurukulam.htm",25651,"Matson Films","June","Documentary",108,"Unrated",NA,NA
"45","Kate Plays Christine","/movies/?id=kateplayschristine.htm",25564,"Grasshopper Film","August","Documentary",112,"Unrated",NA,NA
"46","Banjo","/movies/?id=banjo.htm",25531,"Eros","September","Action Drama",37,"Unrated",NA,NA
"47","The New Year's Eve of Old Lee","/movies/?id=newyearseveofoldlee.htm",25358,"China Lion","February","Comedy",106,"Unrated",NA,NA
"48","Disturbing the Peace","/movies/?id=disturbingthepeace.htm",25287,"Abramorama","November","Documentary",83,"Unrated",NA,NA
"49","Cosmos","/movies/?id=cosmos.htm",25269,"Kino Lorber","June","Drama",103,"Unrated",NA,NA
"50","Love At First Fight","/movies/?id=loveatfirstsight.htm",25229,"Strand","May","Foreign",98,"Unrated",NA,NA
"51","R100","/movies/?id=r100.htm",24956,"Drafthouse","January","Foreign",94,"Unrated",NA,NA
"52","A Monster with a Thousand Heads","/movies/?id=monsterthousandheads.htm",24852,"Music Box Films","May","Drama / Thriller",75,"Unrated",NA,NA
"53","Olvidados (Forgotten)","/movies/?id=olivados.htm",24638,"Cinema Libre Studio","September","Drama",112,"Unrated",NA,NA
"54","Big Game","/movies/?id=biggame.htm",24572,"EuropaCorp","June","Action Thriller",110,"PG-13",NA,NA
"55","Sudden Fear (2016 re-release)","/movies/?id=suddenfear2016.htm",24476,"Cohen Media Group","August","Crime Thriller",111,"Unrated",NA,"David Miller"
