"","Title","Path","Box"
"117","Raiders of the Lost Ark","/movies/?id=raidersofthelostark.htm",212222025
"1","The Empire Strikes Back","/movies/?id=starwars5.htm",209398025
"118","On Golden Pond","/movies/?id=ongoldenpond.htm",119285432
"119","Superman II","/movies/?id=superman2.htm",108185706
"2","9 to 5","/movies/?id=9to5.htm",103290500
"3","Stir Crazy","/movies/?id=stircrazy.htm",101300000
"120","Arthur","/movies/?id=arthur.htm",95461682
"121","Stripes","/movies/?id=stripes.htm",85297000
"4","Airplane!","/movies/?id=airplane.htm",83453539
"122","The Cannonball Run","/movies/?id=cannonballrun.htm",72179579
"5","Any Which Way You Can","/movies/?id=anywhichwayyoucan.htm",70687344
"6","Private Benjamin","/movies/?id=privatebenjamin.htm",69847348
"7","Coal Miner's Daughter","/movies/?id=coalminersdaughter.htm",67182787
"8","Smokey and the Bandit II","/movies/?id=smokeyandthebandit2.htm",66132626
"123","Chariots of Fire","/movies/?id=chariotsoffire.htm",58972904
"9","The Blue Lagoon","/movies/?id=bluelagoon.htm",58853106
"10","The Blues Brothers","/movies/?id=bluesbrothers.htm",57229890
"124","For Your Eyes Only","/movies/?id=foryoureyesonly.htm",54812802
"11","Ordinary People","/movies/?id=ordinarypeople.htm",54766923
"125","The Four Seasons","/movies/?id=fourseasons.htm",50427646
"12","Popeye","/movies/?id=popeye.htm",49823037
"13","Urban Cowboy","/movies/?id=urbancowboy.htm",46918287
"14","The Shining","/movies/?id=shining.htm",44017374
"15","Seems Like Old Times","/movies/?id=seemslikeoldtimes.htm",43995918
"126","Time Bandits","/movies/?id=timebandits.htm",42365581
"16","Cheech & Chong's Next Movie","/movies/?id=cheechchong2.htm",41675194
"127","Clash of the Titans (1981)","/movies/?id=clashofthetitans.htm",41092328
"128","Absence of Malice","/movies/?id=absenceofmalice.htm",40716963
"129","Reds","/movies/?id=reds.htm",40382659
"130","The Fox and the Hound","/movies/?id=foxandthehound.htm",39900000
"17","Caddyshack","/movies/?id=caddyshack.htm",39846344
"18","Friday the 13th (1980)","/movies/?id=friday13th.htm",39754601
"19","Brubaker","/movies/?id=brubaker.htm",37121708
"131","Tarzan, the Ape Man","/movies/?id=tarzantheapeman.htm",36565280
"132","Taps","/movies/?id=taps.htm",35856053
